countrycode,year,rgdpe,avh,hc,rgdpe_pct_change_1y,rgdpe_pct_change_2y,rgdpe_pct_change_3y,rgdpe_pct_change_5y,rgdpe_pct_change_10y,rgdpe_acceleration,rgdpe_zscore_3y,rgdpe_zscore_5y,rgdpe_zscore_10y,rgdpe_vs_global,rgdpe_percentile,rgdpe_lag1,rgdpe_lag2,avh_pct_change_1y,avh_pct_change_2y,avh_pct_change_3y,avh_pct_change_5y,avh_pct_change_10y,avh_acceleration,avh_zscore_3y,avh_zscore_5y,avh_zscore_10y,avh_vs_global,avh_percentile,avh_lag1,avh_lag2,hc_pct_change_1y,hc_pct_change_2y,hc_pct_change_3y,hc_pct_change_5y,hc_pct_change_10y,hc_acceleration,hc_zscore_3y,hc_zscore_5y,hc_zscore_10y,hc_vs_global,hc_percentile,hc_lag1,hc_lag2,recession,recession_last_year,recession_next_year
AUS,1960,179025.03125,1849.46,2.74675846099854,1.1820376481256112,8.551231272177851,15.749137508650168,18.34116242367154,32.08339688151081,-6.101066937768995,0.7092739088787549,1.1104606022532955,1.4523676830143177,-473430.30878906255,40.0,176933.609375,164922.15625,-0.9246164395303014,-1.8406275542157235,-2.7485500044696187,-4.539072984412096,-8.872048563207057,-5.669343924319392e-05,-0.9984585878581652,-1.2589663385275893,-1.4678222923754969,-235.9033333333332,11.11111111111111,1866.72,1884.14,0.3239506566748318,0.6489694277428848,0.9750212432717564,1.630320870069113,2.9789116847191544,-1.8613814045664867e-05,1.0005290786216476,1.2669519006483176,1.5504732245029145,0.544457304477695,100.0,2.73788905143738,2.72904777526855,0,0,0
AUS,1961,183802.375,1846.05,2.76815295219421,2.6685339567563915,3.88211468090387,11.44795773915308,18.76729636455532,45.253538434790855,1.4864963086307803,1.1025947150418876,1.0053825904672316,1.3828582496109392,-487140.1119140625,40.0,179025.03125,176933.609375,-0.18437814280926057,-1.107289791720245,-2.0216119821244827,-3.825515243711841,-8.191430106029562,0.7402382967210408,-0.724336855062352,-1.0022387735772968,-1.2889594367252488,-225.83444444444444,11.11111111111111,1849.46,1866.72,0.7788996192949593,1.1053735264013431,1.4329238674398725,2.091183305353894,3.5077529573386723,0.4549489626201275,1.106796881815125,1.508406244547818,1.8110892321745957,0.5462758421897846,100.0,2.74675846099854,2.73788905143738,0,0,0
AUS,1962,194545.03125,1842.64,2.78971362113953,5.844677605498849,8.669178768820917,9.953689373777298,25.78363716264338,57.08700824131094,3.1761436487424577,1.1013293907703365,1.3654052683231936,1.6296491188700786,-515179.476171875,40.0,183802.375,179025.03125,-0.18471872376153442,-0.36875628561849894,-1.2899631439101666,-3.107170839183271,-7.505421251305111,-0.0003405809522738501,-1.0000000000009222,-0.8714636226856931,-1.1573653210417678,-220.2622222222219,11.11111111111111,1846.05,1849.46,0.7788828622432131,1.5638491971869284,1.8928659536054715,2.5541183023439995,4.039311007279722,-1.6757051746196794e-05,1.0012870467361419,1.4422792021937187,1.8737659990921678,0.548394906520846,90.0,2.76815295219421,2.74675846099854,0,0,0
AUS,1963,211106.921875,1839.24,2.81144237518311,8.51313987233997,14.855383057482264,17.920337955533803,28.00397877104521,53.96629932440247,2.6684622668411206,1.0630239602828162,1.5656532614585927,1.8684934330160239,-534094.779296875,40.0,194545.03125,183802.375,-0.1845178656709967,-0.3688957503859558,-0.5525937300617456,-2.3830500918190833,-6.814474044200347,0.00020085809053771442,-0.9995101645362363,-0.8950243088062053,-1.0611895608797943,-226.1733333333334,11.11111111111111,1842.64,1846.05,0.7788883374596933,1.5638378274793752,2.3549181736589597,3.019170300397267,4.573587534647938,5.475216480199663e-06,1.0012917578424996,1.3406527631853982,1.8391782567027104,0.550492954254155,90.0,2.78971362113953,2.76815295219421,0,0,0
AUS,1964,220510.265625,1835.85,2.83334064483643,4.454303850618357,13.346644840100485,19.971390807654153,24.628817783082656,51.016278758449715,-4.058836021721612,0.8968109828265303,1.2838501555703012,1.725617106680772,-576078.8203125,40.0,211106.921875,194545.03125,-0.18431526065114667,-0.3684930317370827,-0.5525310798732419,-1.6537027513499725,-6.117679546709764,0.00020260501985003287,-0.9995087206612544,-1.2634232088523965,-0.9968732872772235,-229.4655555555555,11.11111111111111,1839.24,1842.64,0.7788980434604742,1.5638531269413614,2.354916573180965,3.4863207239510974,5.110621443451779,9.70600078087358e-06,1.0012926686121733,1.269814531008852,1.7711083530465566,0.5528281569480917,90.0,2.81144237518311,2.78971362113953,0,0,0
AUS,1965,224177.796875,1832.46,2.8554093837738,1.6632020462199248,6.19158996962661,15.231828556402661,25.221481772538446,48.18855713376795,-2.7911018043984326,0.8275778151704413,1.0068876898084105,1.4752657653873475,-623255.057421875,40.0,220510.265625,211106.921875,-0.1846556091183893,-0.36863052130227114,-0.5524681978031576,-0.9191872222162112,-5.41653762774853,-0.0003403484672426238,-1.0000000000011098,-1.263792939988419,-0.967997792965652,-229.18777777777814,11.11111111111111,1835.85,1839.24,0.7788946584163625,1.5638594971318476,2.35492855382895,3.955605282299257,5.650415210823256,-3.385044111681168e-06,1.0012898943330049,1.269815217337756,1.698743185755632,0.5556043624877902,90.0,2.83334064483643,2.81144237518311,0,0,0
AUS,1966,239058.3125,1829.08,2.87764978408813,6.637818656634087,8.411421038575506,13.240395140406847,30.062689614320814,54.4719400339521,4.974616610414162,1.1344002953929646,1.2856238713767314,1.5909794106494155,-662786.22265625,40.0,224177.796875,220510.265625,-0.18445150235203434,-0.36876651142522254,-0.5524020791196405,-0.9192600417106789,-4.709608852397529,0.00020410676635496117,-0.9995072682492823,-1.2637910139226274,-0.9863229779959665,-226.38777777777796,22.22222222222222,1832.46,1835.85,0.7788865736980899,1.5638479380321035,2.3549267624846104,3.9555918254851496,6.129493806721542,-8.084718272627356e-06,1.001288887037339,1.2698101515743192,1.6301715899199518,0.559159791469571,90.0,2.8554093837738,2.83334064483643,0,0,0
AUS,1967,248794.890625,1825.71,2.90006351470947,4.072888335560387,10.981057933996174,12.826897160470917,27.885502408584383,60.85903633323737,-2.5649303210736996,0.9236500096793364,1.3316798476368759,1.5578705403493576,-686938.750390625,40.0,239058.3125,224177.796875,-0.18424563168367714,-0.3683572902000609,-0.5523327069204886,-0.9187904311205641,-3.997412881954854,0.0002058706683571998,-0.9995058072239253,-1.2634144066262036,-1.0766254826184283,-221.0966666666668,22.22222222222222,1829.08,1832.46,0.7788901465799025,1.5638433910535543,2.3549187421088247,3.9555993394355893,6.610748328475502,3.5728818126301576e-06,1.00129135847997,1.2698103139742059,1.5718280675787804,0.5627253174781792,90.0,2.87764978408813,2.8554093837738,0,0,0
AUS,1968,268782.0625,1822.34,2.92265176773071,8.033594188686921,12.433681844884603,19.896825754724958,27.320345592055205,62.97510814287575,3.960705853126534,1.0934899164773226,1.4550423229252591,1.7228685447753875,-720583.694140625,40.0,248794.890625,239058.3125,-0.18458572281468966,-0.3684912633673765,-0.5522630780480986,-0.9188577890868022,-3.2800110395193705,-0.000340091131012521,-1.00000000000169,-1.2637863117993504,-1.267668411307614,-213.298888888889,22.22222222222222,1825.71,1829.08,0.7788882176776202,1.5638450478378862,2.35491220064703,3.9555992158778253,7.09419579300361,-1.9289022823443247e-06,1.0012901916875723,1.2698115218418002,1.5275766039394005,0.5663005590438819,90.0,2.90006351470947,2.87764978408813,0,0,0
AUS,1969,289335.46875,1818.98,2.94541621208191,7.646866780777084,16.29477921478115,21.03133571228568,31.211790947657846,63.527703850075824,-0.38672740790983706,1.0046230374442247,1.3829955849177533,1.7542310641182202,-748481.616015625,40.0,268782.0625,248794.890625,-0.18437832676667654,-0.36862371351419343,-0.55219017210838,-0.918920391099487,-2.5574269306591235,0.00020739604801311984,-0.9995043375086398,-1.2637843628051237,-1.482466517900069,-222.41625,25.0,1822.34,1825.71,0.7788969114468136,1.5638518653955602,2.354922700062123,3.955598048181397,7.579823606642466,8.69376919343523e-06,1.001292452666688,1.2698150704636186,1.501688472884804,0.569885575771333,90.0,2.92265176773071,2.90006351470947,0,0,0
