year,country_code,note
1974,GBR,""
1975,GBR,""
1980,GBR,""
1991,GBR,""
2008,GBR,"technically global"
2009,GBR,"technically global"
2020,GBR,"COVID-19 Pandemic"
1973,USA,"Oil Crisis"
1974,USA,"Oil Crisis"
1975,USA,"Oil Crisis"
1980,USA,""
1981,USA,""
1982,USA,""
1990,USA,"
1991,USA,""
2007,USA,"Great Recession"
2008,USA,"Great Recession"
2009,USA,"Great Recession"
1974,NLD,"Oil Crisis"
1975,NLD,"Oil Crisis"
1981,NLD,""
1982,NLD,""
2008,NLD,"Great Recession"
2009,NLD,"Great Recession"
2020,USA,"COVID-19 Pandemic"
2020,NLD,"COVID-19 Pandemic"
2014,BRA,"Brazilian economic crisis"
2015,BRA,"Brazilian economic crisis"
2016,BRA,"Brazilian economic crisis"
2020,BRA,"COVID-19 Pandemic"
2008,BRA,"Great Recession"
2009,BRA,"Great Recession"
1985,BRA,"Latin American debt crisis"
